INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
30300325	3	0	0	325	名笺·第柒届鳌首	20	第7届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：第柒届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1810	-1	-1	8	-1	1	0
30300326	3	0	0	326	名笺·第柒届宗师	20	第7届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：第柒届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1811	-1	-1	8	-1	1	0
30300327	3	0	0	327	名笺·第柒届名宿	20	第7届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：第柒届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1812	-1	-1	8	-1	1	0
30300328	3	0	0	328	名笺·第捌届鳌首	20	第8届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：第捌届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1820	-1	-1	8	-1	1	0
30300329	3	0	0	329	名笺·第捌届宗师	20	第8届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：第捌届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1821	-1	-1	8	-1	1	0
30300330	3	0	0	330	名笺·第捌届名宿	20	第8届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：第捌届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1822	-1	-1	8	-1	1	0
30300331	3	0	0	331	名笺·第玖届鳌首	20	第9届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：第玖届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1830	-1	-1	8	-1	1	0
30300332	3	0	0	332	名笺·第玖届宗师	20	第9届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：第玖届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1831	-1	-1	8	-1	1	0
30300333	3	0	0	333	名笺·第玖届名宿	20	第9届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：第玖届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1832	-1	-1	8	-1	1	0
30300334	3	0	0	334	名笺·第拾届鳌首	20	第10届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：第拾届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1840	-1	-1	8	-1	1	0
30300335	3	0	0	335	名笺·第拾届宗师	20	第10届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：第拾届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1841	-1	-1	8	-1	1	0
30300336	3	0	0	336	名笺·第拾届名宿	20	第10届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：第拾届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1842	-1	-1	8	-1	1	0
30300337	3	0	0	337	名笺·拾壹届鳌首	20	第11届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：拾壹届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1850	-1	-1	8	-1	1	0
30300338	3	0	0	338	名笺·拾壹届宗师	20	第11届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：拾壹届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1851	-1	-1	8	-1	1	0
30300339	3	0	0	339	名笺·拾壹届名宿	20	第11届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：拾壹届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1852	-1	-1	8	-1	1	0
30300340	3	0	0	340	名笺·拾贰届鳌首	20	第12届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：拾贰届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1860	-1	-1	8	-1	1	0
30300341	3	0	0	341	名笺·拾贰届宗师	20	第12届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：拾贰届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1861	-1	-1	8	-1	1	0
30300342	3	0	0	342	名笺·拾贰届名宿	20	第12届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：拾贰届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1862	-1	-1	8	-1	1	0
30300343	3	0	0	343	名笺·拾叁届鳌首	20	第13届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：拾叁届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1870	-1	-1	8	-1	1	0
30300344	3	0	0	344	名笺·拾叁届宗师	20	第13届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：拾叁届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1871	-1	-1	8	-1	1	0
30300345	3	0	0	345	名笺·拾叁届名宿	20	第13届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：拾叁届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1872	-1	-1	8	-1	1	0
30300346	3	0	0	346	名笺·拾肆届鳌首	20	第14届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：拾肆届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1880	-1	-1	8	-1	1	0
30300347	3	0	0	347	名笺·拾肆届宗师	20	第14届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：拾肆届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1881	-1	-1	8	-1	1	0
30300348	3	0	0	348	名笺·拾肆届名宿	20	第14届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：拾肆届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1882	-1	-1	8	-1	1	0
30300349	3	0	0	349	名笺·拾伍届鳌首	20	第15届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：拾伍届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1890	-1	-1	8	-1	1	0
30300350	3	0	0	350	名笺·拾伍届宗师	20	第15届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：拾伍届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1891	-1	-1	8	-1	1	0
30300351	3	0	0	351	名笺·拾伍届名宿	20	第15届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：拾伍届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1892	-1	-1	8	-1	1	0
30300352	3	0	0	352	名笺·拾陆届鳌首	20	第16届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：拾陆届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1900	-1	-1	8	-1	1	0
30300353	3	0	0	353	名笺·拾陆届宗师	20	第16届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：拾陆届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1901	-1	-1	8	-1	1	0
30300354	3	0	0	354	名笺·拾陆届名宿	20	第16届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：拾陆届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1902	-1	-1	8	-1	1	0
30300355	3	0	0	355	名笺·拾柒届鳌首	20	第17届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：拾柒届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1910	-1	-1	8	-1	1	0
30300356	3	0	0	356	名笺·拾柒届宗师	20	第17届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：拾柒届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1911	-1	-1	8	-1	1	0
30300357	3	0	0	357	名笺·拾柒届名宿	20	第17届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：拾柒届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1912	-1	-1	8	-1	1	0
30300358	3	0	0	358	名笺·拾捌届鳌首	20	第18届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：拾捌届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1920	-1	-1	8	-1	1	0
30300359	3	0	0	359	名笺·拾捌届宗师	20	第18届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：拾捌届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1921	-1	-1	8	-1	1	0
30300360	3	0	0	360	名笺·拾捌届名宿	20	第18届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：拾捌届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1922	-1	-1	8	-1	1	0
30300361	3	0	0	361	名笺·拾玖届鳌首	20	第19届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：拾玖届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1930	-1	-1	8	-1	1	0
30300362	3	0	0	362	名笺·拾玖届宗师	20	第19届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：拾玖届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1931	-1	-1	8	-1	1	0
30300363	3	0	0	363	名笺·拾玖届名宿	20	第19届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：拾玖届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1932	-1	-1	8	-1	1	0
30300364	3	0	0	364	名笺·贰拾届鳌首	20	第20届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：贰拾届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1940	-1	-1	8	-1	1	0
30300365	3	0	0	365	名笺·贰拾届宗师	20	第20届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：贰拾届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1941	-1	-1	8	-1	1	0
30300366	3	0	0	366	名笺·贰拾届名宿	20	第20届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：贰拾届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1942	-1	-1	8	-1	1	0
30300367	3	0	0	367	名笺·廿壹届鳌首	20	第21届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：廿壹届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1950	-1	-1	8	-1	1	0
30300368	3	0	0	368	名笺·廿壹届宗师	20	第21届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：廿壹届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1951	-1	-1	8	-1	1	0
30300369	3	0	0	369	名笺·廿壹届名宿	20	第21届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：廿壹届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1952	-1	-1	8	-1	1	0
30300370	3	0	0	370	名笺·廿贰届鳌首	20	第22届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：廿贰届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1960	-1	-1	8	-1	1	0
30300371	3	0	0	371	名笺·廿贰届宗师	20	第22届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：廿贰届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1961	-1	-1	8	-1	1	0
30300372	3	0	0	372	名笺·廿贰届名宿	20	第22届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：廿贰届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1962	-1	-1	8	-1	1	0
30300373	3	0	0	373	名笺·廿叁届鳌首	20	第23届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：廿叁届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1970	-1	-1	8	-1	1	0
30300374	3	0	0	374	名笺·廿叁届宗师	20	第23届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：廿叁届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1971	-1	-1	8	-1	1	0
30300375	3	0	0	375	名笺·廿叁届名宿	20	第23届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：廿叁届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1972	-1	-1	8	-1	1	0
30300376	3	0	0	376	名笺·廿肆届鳌首	20	第24届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：廿肆届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1980	-1	-1	8	-1	1	0
30300377	3	0	0	377	名笺·廿肆届宗师	20	第24届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：廿肆届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1981	-1	-1	8	-1	1	0
30300378	3	0	0	378	名笺·廿肆届名宿	20	第24届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：廿肆届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1982	-1	-1	8	-1	1	0
30300379	3	0	0	379	名笺·廿伍届鳌首	20	第25届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：廿伍届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	1990	-1	-1	8	-1	1	0
30300380	3	0	0	380	名笺·廿伍届宗师	20	第25届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：廿伍届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1991	-1	-1	8	-1	1	0
30300381	3	0	0	381	名笺·廿伍届名宿	20	第25届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：廿伍届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	1992	-1	-1	8	-1	1	0
30300382	3	0	0	382	名笺·廿陆届鳌首	20	第26届华山巅峰冠军专属称号。#r#G点击使用可获得橙色品质称号：廿陆届·巅峰·鳌首	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2000	-1	-1	8	-1	1	0
30300383	3	0	0	383	名笺·廿陆届宗师	20	第26届华山巅峰亚军专属称号。#r#G点击使用可获得紫色品质称号：廿陆届·巅峰·宗师	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2001	-1	-1	8	-1	1	0
30300384	3	0	0	384	名笺·廿陆届名宿	20	第26届华山巅峰季军专属称号。#r#G点击使用可获得紫色品质称号：廿陆届·巅峰·名宿	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2002	-1	-1	8	-1	1	0
30300385	3	0	0	385	名笺·全服頂尖	20	跨服個人戰力排行大賽第一名專屬稱號。#r#G點擊使用可獲得橙色品質稱號：舉世無雙·全服頂尖	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	10000003	-1	-1	8	-1	1	0
30300386	3	0	0	386	名笺·侠侣青铜亚军	38	第一届侠侣大赛青铜组亚军专属称号。#r#G点击使用可获得紫色品质称号：第一届侠侣青铜亚军	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2400	-1	-1	8	-1	1	0
30300387	3	0	0	387	名笺·侠侣白银亚军	38	第一届侠侣大赛白银组亚军专属称号。#r#G点击使用可获得紫色品质称号：第一届侠侣白银亚军	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2401	-1	-1	8	-1	1	0
30300388	3	0	0	388	名笺·侠侣黄金亚军	38	第一届侠侣大赛黄金组亚军专属称号。#r#G点击使用可获得紫色品质称号：第一届侠侣黄金亚军	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2402	-1	-1	8	-1	1	
30300389	3	0	0	389	名笺·侠侣钻石亚军	38	第一届侠侣大赛钻石组亚军专属称号。#r#G点击使用可获得紫色品质称号：第一届侠侣钻石亚军	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2403	-1	-1	8	-1	1	0
30300390	3	0	0	390	名笺·天龍泰斗	20	「天龍泰斗」活動專屬稱號。#r#G點擊使用可獲得橙色品質稱號：創作鬼才·天龍泰斗	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	10000004	-1	-1	8	-1	1	0
30300391	3	0	0	391	名笺·风尘浪子	1	一见钟情活动专属兑换称号。#r#G点击使用可获得紫色品质称号：风尘浪子	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2460	-1	-1	8	-1	1	0
30300392	3	0	0	392	名笺·玪珑碧玉	1	一见钟情活动专属兑换称号。#r#G点击使用可获得紫色品质称号：玪珑碧玉	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2470	-1	-1	8	-1	1	0
30300393	3	0	0	393	名笺·人间行者	1	通关天命挑战副本人间5难度后，可在天命阁中使用天命印记兑换。#r#G点击使用可获得蓝色品质称号：天命·人间行者	1	50094	1	701009	1	-1	0	1	-1	-1	1	2	1	0	2420	-1	-1	8	-1	1	0
30300394	3	0	0	394	名笺·魂梦魍魉	1	通关天命挑战副本噩梦5难度后，可在天命阁中使用天命印记兑换。#r#G点击使用可获得紫色品质称号：天命·魂梦魍魉	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2430	-1	-1	8	-1	1	0
30300395	3	0	0	395	名笺·地狱无常	1	通关天命挑战副本地狱5难度后，可在天命阁中使用天命印记兑换。#r#G点击使用可获得紫色品质称号：天命·地狱无常	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2440	-1	-1	8	-1	1	0
30300396	3	0	0	396	名笺·天道主宰	1	通关天命挑战副本通天5难度后，可在天命阁中使用天命印记兑换。#r#G点击使用可获得橙色品质称号：天命·天道主宰	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2450	-1	-1	8	-1	1	0
30300397	3	0	0	397	名笺·天作之合	1	云锦天衣活动专属兑换称号。#r#G点击使用可获得橙色品质称号：天作之合	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2480	-1	-1	8	-1	1	0
30300398	3	0	0	398	名笺·绝世英杰	1	天龙名人堂顶尖少侠专属称号。#r#G点击使用可获得橙色品质称号：天龙名人·绝世英杰	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2490	-1	-1	8	-1	1	0
30300399	3	0	0	399	名笺·纵横捭阖	1	纵横捭阖，冷心为上，千年之影，重现江湖。#r#G点击使用可获得橙色品质称号：纵横捭阖	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2510	-1	-1	8	-1	1	0
30300400	3	0	0	400	名笺·万圣捣蛋鬼	1	万圣之夜，别睡觉，恶魔上门来送礼。不给糖就捣蛋活动专属称号。#r#G点击使用可获得橙色品质称号：万圣捣蛋鬼	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2520	-1	-1	8	-1	1	0
30300401	3	0	0	401	名笺·君临天下	1	第一届全国争霸赛冠军称号#r#G点击使用可获得橙色品质称号：荡尽八荒·君临天下	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2530	-1	-1	8	-1	1	0
30300402	3	0	0	402	名笺·绝世枭雄	1	第一届全国争霸赛亚军称号#r#G点击使用可获得橙色品质称号：睥睨万物·绝世枭雄	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2540	-1	-1	8	-1	1	0
30300403	3	0	0	403	名笺·独步江湖	1	第一届全国争霸赛季军称号#r#G点击使用可获得紫色品质称号：威震群豪·独步江湖	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2550	-1	-1	8	-1	1	0
30300404	3	0	0	404	名笺·所向披靡	1	第一届全国争霸赛本服晋级选手称号#r#G点击使用可获得橙色品质称号：纵横驰骋·所向披靡	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2560	-1	-1	8	-1	1	0
30300405	3	0	0	405	名笺·百战不殆	1	第一届全国争霸赛本服亚军称号#r#G点击使用可获得紫色品质称号：骁勇绝人·百战不殆	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2570	-1	-1	8	-1	1	0
30300406	3	0	0	406	名笺·神仙姐姐	1	超凡脱俗，神女下凡，你便是众人心中的女神。#r#G点击使用可获得橙色品质称号：神仙姐姐	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2580	-1	-1	8	-1	1	0
30300407	3	0	0	407	名笺·无双世子	1	英俊潇洒，世子无双，你便是众人心中的男神。#r#G点击使用可获得橙色品质称号：无双世子	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2590	-1	-1	8	-1	1	0
30300408	3	0	0	408	名笺·盛世至尊	1	天龙名人堂玩家盛典评选活动-盛世三杰TOP1荣誉称号。#r#G点击使用可获得橙色品质称号：天龙名人·盛世至尊	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2600	-1	-1	8	-1	1	0
30300409	3	0	0	409	名笺·盛世帝王	1	天龙名人堂玩家盛典评选活动-盛世三杰TOP2荣誉称号。#r#G点击使用可获得紫色品质称号：天龙名人·盛世帝王	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2610	-1	-1	8	-1	1	0
30300410	3	0	0	410	名笺·盛世霸主	1	天龙名人堂玩家盛典评选活动-盛世三杰TOP3荣誉称号。#r#G点击使用可获得紫色品质称号：天龙名人·盛世霸主	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2620	-1	-1	8	-1	1	0
30300411	3	0	0	411	名笺·特邀侠客	1	天龙玩家见面会专属称号。#r#G点击使用可获得橙色品质称号：武林大会特邀侠客	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2630	-1	-1	8	-1	1	0
30300412	3	0	0	412	名笺·侠侣青铜冠军	38	第二届侠侣大赛青铜组冠军专属称号。#r#G点击使用可获得橙色品质称号：第二届侠侣青铜冠军	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2640	-1	-1	8	-1	1	0
30300413	3	0	0	413	名笺·侠侣白银冠军	38	第二届侠侣大赛白银组冠军专属称号。#r#G点击使用可获得橙色品质称号：第二届侠侣白银冠军	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2641	-1	-1	8	-1	1	0
30300414	3	0	0	414	名笺·侠侣黄金冠军	38	第二届侠侣大赛黄金组冠军专属称号。#r#G点击使用可获得橙色品质称号：第二届侠侣黄金冠军	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2642	-1	-1	8	-1	1	0
30300415	3	0	0	415	名笺·侠侣钻石冠军	38	第二届侠侣大赛钻石组冠军专属称号。#r#G点击使用可获得橙色品质称号：第二届侠侣钻石冠军	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2643	-1	-1	8	-1	1	0
30300416	3	0	0	416	名笺·侠侣青铜亚军	38	第二届侠侣大赛青铜组亚军专属称号。#r#G点击使用可获得紫色品质称号：第二届侠侣青铜亚军	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2644	-1	-1	8	-1	1	0
30300417	3	0	0	417	名笺·侠侣白银亚军	38	第二届侠侣大赛白银组亚军专属称号。#r#G点击使用可获得紫色品质称号：第二届侠侣白银亚军	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2645	-1	-1	8	-1	1	0
30300418	3	0	0	418	名笺·侠侣黄金亚军	38	第二届侠侣大赛黄金组亚军专属称号。#r#G点击使用可获得紫色品质称号：第二届侠侣黄金亚军	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2646	-1	-1	8	-1	1	0
30300419	3	0	0	419	名笺·侠侣钻石亚军	38	第二届侠侣大赛钻石组亚军专属称号。#r#G点击使用可获得紫色品质称号：第二届侠侣钻石亚军	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2647	-1	-1	8	-1	1	0
30300420	3	0	0	420	名笺·才华馥比仙	1	一生所爱活动专属兑换称号。#r#G点击使用可获得紫色品质称号：才华馥比仙	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2650	-1	-1	8	-1	1	0
30300421	3	0	0	421	名笺·气质美如兰	1	一生所爱活动专属兑换称号。#r#G点击使用可获得紫色品质称号：气质美如兰	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2660	-1	-1	8	-1	1	0
30300422	3	0	0	422	名笺·怒睛湘西	1	电视剧《怒睛湘西》主角陈玉楼定制专属称号。#r#G点击使用可获得橙色品质称号：怒睛湘西·玉楼银海	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2670	-1	-1	8	-1	1	0
30300423	3	0	0	423	名笺·噜噜的好朋友	1	帮助噜噜完成生肖轮换获得的称号。#r#G点击使用可获得橙色品质称号：噜噜的好朋友	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2680	-1	-1	8	-1	1	0
30300424	3	0	0	424	名笺·江湖相伴	1	玩家见面会专属称号。#r#G点击使用可获得橙色品质称号：江湖相伴·红尘相随	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2690	-1	-1	8	-1	1	0
30300425	3	0	0	425	名笺·无极武神	1	通关天命挑战副本无极5难度后，可在天命阁中使用天命印记兑换。#r#G点击使用可获得橙色品质称号：天命·无极武神，并永久获得39点身法。	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2700	-1	-1	8	-1	1	0
30300426	3	0	0	426	名笺·仙界帝君	1	通关天命挑战副本升仙5难度后，可在天命阁中使用天命印记兑换。#r#G点击使用可获得橙色品质称号：天命·仙界帝君，并永久获得115点会心。	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2710	-1	-1	8	-1	1	0
30300427	3	0	0	427	名笺·都指挥使	1	在扶风郡赛季结束时，达到#G都指挥使#l段位的角色，可获此称号嘉奖。#r#G点击使用可获得绿色品质称号：扶风郡·都指挥使	1	50094	1	701009	1	-1	0	1	-1	-1	1	1	1	0	2720	-1	-1	8	-1	1	0
30300428	3	0	0	428	名笺·大将军	1	在扶风郡赛季结束时，达到#G大将军#l段位的角色，可获此称号嘉奖。#r#G点击使用可获得蓝色品质称号：扶风郡·大将军	1	50094	1	701009	1	-1	0	1	-1	-1	1	2	1	0	2730	-1	-1	8	-1	1	0
30300429	3	0	0	429	名笺·大元帅	1	在扶风郡赛季结束时，达到#G大元帅#l段位的角色，可获此称号嘉奖。#r#G点击使用可获得紫色品质称号：扶风郡·大元帅	1	50094	1	701009	1	-1	0	1	-1	-1	1	3	1	0	2740	-1	-1	8	-1	1	0
30300430	3	0	0	430	名笺·荣耀元帅	1	在扶风郡赛季结束时，达到#G荣耀元帅#l段位的角色，可获此称号嘉奖。#r#G点击使用可获得橙色品质称号：扶风郡·荣耀元帅	1	50094	1	701009	1	-1	0	1	-1	-1	1	4	1	0	2750	-1	-1	8	-1	1	0
