int	string	string
12328	商店功能	出售后铜钱及银两数量将超过上限，请确保有足够的携带空间后再进行出售
12329	商店功能	请选择要出售的物品
#副本通用提示12401-12500		
12401	副本信息提示	{0}活动尚未开启，无法进入副本
12402	副本信息提示	请组成最少3人，最多5人的队伍后，再进行挑战
12403	副本信息提示	您还不是队长，只有队长才能发起副本挑战
12404	副本信息提示	服务器场景数量已达上限，请稍等片刻再次尝试
12405	副本信息提示	创建副本成功
12406	副本信息提示	副本将在{0}分钟后关闭，请大侠速战速决
12407	副本信息提示	您已通关，副本将在{0}分钟后关闭
12408	副本信息提示	离开副本后，无法再次回到当前副本中，您是否确定离开？
12409	副本信息提示	正在施展轻功，无法进行该操作
12410	副本信息提示	副本将在{0}秒后关闭，请大侠速战速决
12411	副本信息提示	您已通关，副本将在{0}秒后关闭
12412	副本信息提示	您当前等级未达到{0}级，无法发起挑战！
12413	副本信息提示	退出副本
#12421-12450		
12421	帮会杀星	"帮会杀星活动将在5分钟之后开启，等级到达18的玩家可前往帮会城市找枯荣大师（148,147）处进行挑战"
12422	帮会杀星	"帮会杀星活动已经开始，请等级达到18级的侠士，前往帮会城市找枯荣大师（148,147）处进行挑战"
12423	帮会杀星击败聊天公告	于杀星一役中，我帮成员经过不懈努力，终于将十二煞星中#G{0}#l成功击败，获得#G{1}#l帮会资金。今晚#G20：30#l活动结束时，可查看杀星排行榜，如果进入#G前20#l，将会有丰厚的拍卖奖励。
12424	帮会杀星	帮会杀星参与奖励
12425	帮会杀星邮件	枯荣大师：#r于杀星一役中，少侠骁勇善战，尽显高强武艺，共对[286B1E]{1}[-]造成了[286B1E]{2}[-]点伤害，成功将其击退。为感谢少侠仗义相助之恩，特准备了些礼物，还望笑纳。#r#r[286B1E]20:30[-]活动结束之后，少侠可前往[286B1E]排行榜[-]中查看自己帮会的排名。#r[286B1E]前20名[-]的帮会将获得丰厚的战利品奖励，并上架在帮会拍卖行中。#r#r帮会拍卖战利品全部卖出后，即可给今日所有参与杀星活动的帮会成员分红，若任意战利品未卖出，最晚在活动结束后[286B1E]3小时[-]后，全部被系统回收，并给予今日参与帮会杀星的帮会成员分红。
12426	帮会杀星	查看杀星排行
12427	帮会杀星	帮会杀星活动尚未开启
12428	帮会杀星	"您已经参加过帮会杀星,请下次再来"
12429	帮会杀星	帮会杀星副本今日已被通关
12430	帮会杀星	进入帮会杀星副本
12431	帮会杀星	帮会杀星
12432	帮会杀星	帮会
12433	帮会杀星	造成伤害
12434	帮会杀星	击败用时
12435	帮会杀星	奖励
12436	帮会杀星	杀星奖励
12437	帮会杀星	当天杀星活动结束后，第{0}名帮会有概率获得以下战利品，战利品会进行帮会拍卖，所得元宝将会进行分红
12438	帮会杀星	个人
12439	帮会杀星	帮会
12440	帮会杀星	伤害越高，帮会排卖获得的分红越多
12441	帮会杀星	暂无
12442	帮会杀星	帮会排名越高，获得排行奖励越好
12443	帮会杀星	帮会杀星活动已结束
12444	帮会杀星	你处在变身状态，无法进入副本
12445	帮会杀星	你已死亡，无法进入副本
12446	帮会杀星滚屏	帮会杀星将在20:00开始！请众英雄速速回帮，找枯荣大师准备迎战！
12447	帮会杀星滚屏	帮会杀星已经开始，请速速前往帮会帮助枯荣大师迎战煞星！
12448	帮会杀星未杀聊天公告	于杀星一役中，我帮成员对十二煞星中#G{0}#l，造成#G{1}#l点伤害，成功将其击退，获得#G{2}#l帮会资金。今晚#G20：30#l活动结束时，可查看杀星排行榜，如果进入#G前20#l，将会有丰厚的拍卖奖励。
12449	帮会杀星滚屏	帮会杀星已经开始，请速速前往帮会帮助枯荣大师迎战煞星，击败杀星的帮会将在拍卖行产出稀有道具，参与杀星的帮众将获得丰厚的拍卖分红！
#12501-12650 帮会天赋		
12501	帮会天赋	骨干人员
12502	帮会天赋	每次帮会任务获得的帮贡和帮会通宝提高#G{0}#l点
12503	帮会天赋	建设
12504	帮会天赋	帮会维护时消耗的帮会资金减少#G{0}%#l
12505	帮会天赋	活力充沛
12506	帮会天赋	活力上限提高#G{0}#l点
12507	帮会天赋	日进斗金
12508	帮会天赋	帮会工资中所有活动奖励的绑定元宝提高#G{0}#l点
12509	帮会天赋	宴请达人
12510	帮会天赋	从酬谢函中获得的帮贡提高#G{0}#l点
12511	帮会天赋	冥想
12512	帮会天赋	帮会修炼消耗的帮贡减少#G{0}#l点
12513	帮会天赋	财源滚滚
12514	帮会天赋	从帮会杀星和帮会御膳比拼中获得的帮会资金提高#G{0}%#l
12515	帮会天赋	自给自足
12516	帮会天赋	从农政全书、山海经、徐霞客游记、齐民要术中获得熟练度提高#G{0}#l点
12517	帮会天赋	点石成金
12518	帮会天赋	每次帮会炼金获得的银两提高#G{0}#l
12519	帮会天赋	丰衣足食
12520	帮会天赋	从帮会杀星和帮会御膳比拼中获得的帮贡和通宝提高#G{0}%#l
12521	帮会天赋	团结
12522	帮会天赋	帮会守卫战天元、日曜、月曜鼎的血量提高#G{0}%#l
12523	帮会天赋	争强好胜
12524	帮会天赋	帮会宣战消耗的宣战点数降低#G{0}%#l
12525	帮会天赋	复活加速
12526	帮会天赋	在领地争夺战中出窍时间减少#G{0}#l秒
12527	帮会天赋	只赚不赔
12528	帮会天赋	押送帮会镖车的收益提高#G{0}%#l
12529	帮会天赋	守卫之星
12530	帮会天赋	帮会守卫战获得的帮会资金提高#G{0}%#l
12531	帮会天赋	夺旗强化
12532	帮会天赋	在领地争夺战中夺旗时间减少#G{0}%#l
12533	帮会天赋	蛮力战鼓
12534	帮会天赋	领地和凤凰古城争夺战中蛮力战鼓的效果延长#G{0}#l秒
12535	帮会天赋	劫富济贫
12536	帮会天赋	帮会运镖活动中拦镖获得帮贡和帮会通宝提高#G{0}%#l
12537	帮会天赋	战旗守卫
12538	帮会天赋	在领地战中，对己方战旗附近敌方造成伤害提高#G{0}%#l
12539	帮会天赋	鼓舞战鼓
12540	帮会天赋	领地和凤凰古城争夺战中鼓舞战鼓的效果延长#G{0}#l秒
12541	帮会天赋	帮会研究
12542	帮会天赋	帮主和副帮主可以消耗帮会资金进行帮会研究，提升帮会的实力。
12543	帮会天赋	在下赵明启，负责管理军机阁，帮主和副帮主可以随时在我这里进行帮会研究，提升帮会实力。
12544	帮会天赋	查看
12545	帮会天赋	研究预览
12546	帮会天赋	科技效果
12547	帮会天赋	满级
12548	帮会天赋	{0}/{1}
12549	帮会天赋	生产
12550	帮会天赋	军事
12551	帮会天赋	{0}级
12552	帮会天赋	{0}级军机阁解锁
12553	帮会天赋	前置科技
12554	帮会天赋	研究完成{0}个本系科技
12555	帮会天赋	科技效果
12556	帮会天赋	下一级效果
12557	帮会天赋	研究消耗
12558	帮会天赋	帮会资金
12559	帮会天赋	研究科技
12560	帮会天赋	只有帮主和副帮主才能进行研究科技。
12561	帮会天赋	该研究已达满级，无法研究科技。
12562	帮会天赋	军机阁等级不足，无法研究科技。
12563	帮会天赋	前置研究数量不满足，无法研究科技。
12564	帮会天赋	研究{0}科技需要{1}达到满级，条件不足，无法研究科技。
12565	帮会天赋	帮会资金不足，无法研究科技。
12566	帮会天赋	帮会处于低维护状态，无法研究科技。
12567	帮会天赋	研究{0}科技可能会使帮会进入低维护状态，请保证帮会资金大于等于{1}再进行科技研究。
12568	帮会天赋	{0}科技研究成功，当前等级为{1}级。
12569	帮会天赋	赵明启：“在勤劳的{0}带领下，帮会研究大力发展，#G{1}#l研究成功，当前等级为{2}级，帮会实力大幅提升！”
12570	帮会天赋	生产系：{0}
12571	帮会天赋	军事系：{0}
12572	帮会天赋	#R因军机阁降级，该天赋已失效！
12573	帮会天赋	已达满级。
12574	帮会天赋	无
12575	帮会天赋	军事系尚未开启，敬请期待。
12576	帮会天赋	点击过于频繁，请稍后再试。
12577	帮会天赋	花费帮会资金增强帮会实力
12578	帮会天赋	帮会研究有生产和军事两类研究，分别提升帮会生产实力和军事实力。
12579	帮会天赋	消耗资金
#12580-12620 连续登录活动		
12580	醒目提示	当前非活动时间，无法领取奖励。
12581	醒目提示	您已领取过此奖励，请明日再来。
12582	醒目提示	领取奖励成功。
12583	醒目提示	背包空间不足，请清理背包后再进行尝试。
12584	界面文字	当前累计：{0}天
12585	醒目提示	累计领奖次数不足，无法领取该奖励。
12586	界面文字	累计{0}次
12587	邮件标题	新版本送豪礼活动奖励
12588	邮件内容	新版本送豪礼活动已圆满结束，但您仍有累计登录奖励未及时领取，该奖励已通过本邮件附件补发给您，祝您游戏愉快！
12589	按钮文字	新版本送豪礼
12590	醒目提示	您已领取过此奖励。
12591	醒目提示	操作失败，当前非活动时间。
#12621-12630	经验显示	
12621	经验显示	当前队伍与您同帮会人数:#G{0}#l，经验加成:#G{1}%
12622	经验显示	与同帮会玩家组队杀怪时可以获得经验加成
#12631-12650 在线领奖		
12631	在线领奖	奖励未领取，请领取奖励后再尝试！
12632	在线领奖	祈福次数不足，请少侠稍后再试！
12633	在线领奖	恭喜您获得{0}
12634	在线领奖	正在祈福，请稍后再试
12635	在线领奖	今日祈福次数已达上限。
12636	在线领奖	{0}后增加祈福次数
12637	在线领奖	祈福
12638	在线领奖	领奖
12639	在线领奖	温馨提示：每日累计在线2小时，最高可祈福6次！
12640	在线领奖	#G{0}#l后增加祈福次数
12641	在线领奖	当前可祈福次数:#G{0}#l
12642	福利界面	福利
12643	祈福完毕	今日祈福已完毕
12644	在线领奖	跳过祈福动画
#12651-12660 多倍经验道具		
12651	醒目提示	您获得了{0}点的储备经验，今日还可以使用{1}颗天灵丹。
12652	BUFF描述	打怪时可获得2倍怪物经验，剩余储备经验{0}。
12653	醒目提示	无法使用，天灵丹已达累加上限。
12654	醒目提示	您的等级不足25级，无法使用。
12655	醒目提示	您今日天灵丹已达可用上限，无法使用。
12656	醒目提示	道具可用数量不足，无法使用。
#12661-12690	七日优化	
12661	七日优化	第一天
12662	七日优化	第二天
12663	七日优化	第三天
12664	七日优化	第四天
12665	七日优化	第五天
12666	七日优化	第六天
12667	七日优化	第七天
12668	七日优化	新手礼包
12669	七日优化	阿朱拜帖
12670	七日优化	豪华坐骑
12671	七日优化	新莽神符
12672	七日优化	老虎宝宝
12673	七日优化	珍兽技能
12674	七日优化	稀有宝石
12675	七日优化	累计登录第{0}天
12676	七日优化	领取稀有体力宝石
12677	七日优化	领取刁蛮任性阿紫
12678	七日优化	领取神器打造神材
12679	七日优化	领取经典变异老虎
12680	七日优化	领取豪华超值坐骑
12681	七日优化	领取附体神技沸血
12682	七日优化	领取指点群豪语嫣
12683	七日优化	领取
12684	七日优化	第{0}天可领
12685	七日优化	累计登录的天数越多，获得的奖励越丰富
12686	七日优化	#G已领取
12687	七日优化	七日登录中领取，放生后将无法再次获得
12688	官网预约	官网预约活动奖励，放生后将无法再次获得
#12691-12700 离线经验		
12691	个人信息	您离线挂机[286B1E]{0}[-]分钟，本次获得[286B1E]{1}[-]点离线挂机经验。
12692	个人信息	您离线挂机[286B1E]{0}[-]分钟，由于经验已达上限，部分经验无法获得，本次获得获得[286B1E]{1}[-]点离线挂机经验。
12693	个人信息	您离线挂机[286B1E]{0}[-]分钟，由于经验已达上限，无法获得离线挂机经验。
12694	邮件标题	系统消息
#12695-12700 历练经验		
12695	消息球标题	历练经验
12696	消息球内容	您昨日还有[286B1E]{0}[-]只怪物未击败，未杀满3000只怪物，本次获得[286B1E]{1}[-]点杀怪经验的补偿。
12697	消息球内容	您昨日还有[286B1E]{0}[-]只怪物未击败，未杀满3000只怪物，但由于您的经验已达上限，部分经验无法获得，本次只能获得[286B1E]{1}[-]点杀怪经验的补偿。
12698	消息球内容	您昨日还有[286B1E]{0}[-]只怪物未击败，未杀满3000只怪物，但由于您的经验已达上限，无法获得杀怪经验的补偿。
#12701-12800 资源找回		
12701	临时文字	找回
12702	功能按钮	普通找回
12703	功能按钮	完美找回
12704	功能按钮	普通一键找回
12705	功能按钮	完美一键找回
12706	界面信息	科举考试
12707	界面信息	老三环副本
12708	界面信息	珍珑棋局
12709	界面信息	反贼入侵
12710	界面信息	每日任务(10次)
12711	界面信息	夺宝马贼(15次)
12712	界面信息	逞凶打图(10次)
12713	界面信息	英雄试炼
12714	界面信息	燕子坞副本
12715	界面信息	四绝庄副本
12716	界面信息	杀星副本
12717	界面信息	少室山副本
12718	界面信息	每日历练
12719	界面信息	帮会任务(20次)
12720	界面信息	帮会行酒令
12721	界面信息	帮会练功
12722	界面信息	帮会运矿
12751	界面信息	找回次数：[286B1E]{0}[-]
12752	界面信息	单价
12753	界面信息	#G已找回
12754	界面信息	[381e07]普通找回：[653702]使用铜钱找回对应活动[286B1E]70%[653702]的资源。#r[381e07]完美找回：[653702]使用玉虚葫找回对应活动[286B1E]90%[653702]的资源。#r玉虚葫不足时会[8c0903]直接[653702]消耗绑定元宝和元宝！#r前一天未参与的活动才可找回，未找回资源每日[286B1E]0[653702]点清除。
12755	界面信息	总计{0}
12756	醒目提示	所需铜钱数量不足。
12757	醒目提示	所需绑定元宝数量不足。
12758	醒目提示	暂无资源可找回。
12759	醒目提示	背包空间不足，无法进行资源找回。
12760	醒目提示	银两已达上限，无法找回！
12761	醒目提示	铜钱已达上限，无法找回！
12762	醒目提示	元宝已达上限，无法找回！
12763	醒目提示	绑定元宝已达上限，无法找回！
12764	醒目提示	帮贡已达上限，无法找回！
12765	醒目提示	英雄令已达上限，无法找回！
12766	醒目提示	侠义勾玉已达上限，无法找回！
12767	醒目提示	骁勇勾玉已达上限，无法找回！
12768	醒目提示	经验已达上限，无法找回！
12769	醒目提示	界面已刷新，找回资源已重置！
12770	界面信息	{0}(剩余{1}次)
12771	界面信息	花费{0}
12772	功能按钮	确定
12773	醒目提示	此活动最小找回次数为#G1#l。
12774	醒目提示	此活动已达最大可找回次数。
12775	醒目提示	资源找回成功，由于达到经验上限，部分经验无法找回，该部分花费已经返还！
12776	醒目提示	资源找回成功！
12777	界面信息	是否使用{0}，找回全部活动#G{1}%#l的资源？
12778	醒目提示	您由于背包不足，找回资源已通过邮件发放至您邮件，请您查收！
12779	邮件标题	{0}的找回资源
12780	醒目提示	由于背包不足，无法打开宝箱！
12781	界面信息	找回次数：#R{0}
12782	界面参数	0.7
12783	界面参数	0.9
12784	醒目提示	获得{0}个{1}
12785	醒目提示	获得{0}个{1}
12786	资源找回	缥缈峰副本
12787	界面文字	找回次数
12788	界面文字	找回70%资源
12789	界面文字	找回90%资源
12790	界面文字	经验已达上限，部分将无法找回。
12791	界面文字	铜钱已达上限，部分将无法找回。
12792	界面文字	经验和铜钱达上限，部分无法找回。
12793	界面文字	需要
12794	界面文字	拥有
12795	界面文字	[b02213]再花费{0}[_绑定元宝]购买{1}[_玉虚葫]进行找回
12796	界面文字	[b02213]再花费{0}[_绑定元宝]和{1}(储备{2})[_元宝]购买{3}[_玉虚葫]进行找回
12797	界面文字	[b02213]再花费{0}(储备{1})[_元宝]购买{2}[_玉虚葫]进行找回
12798	醒目提示	由于家园仓库不足，无法打开宝箱！
12799	醒目提示	由于背包和家园仓库不足，无法打开宝箱！
#12801-12900 野外BOSS		
12801	UI信息	剩余水匪数量
12802	UI信息	水匪已全部击败
12803	UI信息	水匪即将刷新
12804	UI信息	{0}：{1}
12805	UI信息	千年冰魄
12806	UI信息	冰妖
12807	UI信息	白冥启
12808	UI信息	冥虚奴
12809	UI信息	玄击金刚
12810	UI信息	玄击神将
12811	UI信息	莽牯毒蛤王
12812	UI信息	莽牯毒蛤
12813	UI信息	混江龙
12814	UI信息	混江小龙
12815	醒目提示	{0}将携其手下于在{1}分钟后逃逸，请各位大侠加紧破敌！
12816	醒目提示	{0}将携其手下于在{1}秒后逃逸！
12817	醒目提示	{0}已携其手下逃逸！
12818	默认对白	我当年和我家贼爷也光顾过皇宫，哈哈哈！
12819	默认对白	九天玄雷，为我…..老大所控！
12820	默认对白	呱……呱……
12821	默认对白	唔……唔……
12822	默认对白	看什么看？难道你也是大宋狗官派来送死的？
12823	冒泡文字	你家贼爷当前入宫盗宝，三千侍卫难奈我何。尔等尚不如鹰犬，怎敢来打贼爷我的秋风？
12824	冒泡文字	贼爷闯荡江湖，靠的就是这手上的活儿！贼爷这就耍一招妙手生花，让尔等开开眼！
12825	冒泡文字	贼爷不发威，当贼爷是病猫不成？炎火轮转，给我烧！
12826	冒泡文字	贼爷…我…本打算…求饶…可…尔等小贼…连张嘴…的机会都…不给…贼爷…很生气…后果很严重…
12827	冒泡文字	幽冥狱火，烧尽八方，镇！
12828	冒泡文字	尔等蝼蚁之辈，安敢与本尊为敌？待吾唤来九天神雷，定将尔等炸为齑粉，以儆效尤！
12829	冒泡文字	急急如律令，风云雷动劈！天地风雷尊吾召唤，将此间狂徒彻底铲除!
12830	冒泡文字	尔等休要猖狂，待本尊唤来九天雷劫与尔等一战！待这雷劫降下之时，尔等必将化为焦炭！
12831	冒泡文字	本尊不…服…若是这…贼老天…能…再借本尊…几束落雷…尔等…岂能活命…吾不服啊…不服…
12832	冒泡文字	玄雷降世，助吾破敌！
12833	冒泡文字	镜湖…呱…是我的天下…呱…你们…呱…这些闯入者…呱…将会为你们的鲁莽…呱…付出代价…呱…
12834	冒泡文字	狂妄的…呱…入侵者们…呱…尽情享受…呱…被腐骨毒雾…呱…的痛苦吧！
12835	冒泡文字	孩儿们…呱…快来品尝…呱…这美味的…呱…的大餐吧…呱…不要…呱…不要…呱…留下…呱…活口…
12836	冒泡文字	你们…呱…很强…呱…镜湖…呱…终有一天…呱…会归…呱…毒蛤一族…呱…所有…呱…
12837	冒泡文字	呱…毒液…呱…飞溅…呱…一个…呱…不留…
12838	冒泡文字	老夫于此地清修已千年有余，偶有外出寻些乐子，却偏遇尔等鼠辈扰我兴致。今日若不将尔等铲除，千年威名必将荡然无存！
12839	冒泡文字	千年寒冰，尊听老夫号令，将这些自命不凡的鼠辈们统统埋葬！
12840	冒泡文字	待老夫将尔等冰冻后，再让尔等慢慢品尝这千年寒冰的彻骨滋味！
12841	冒泡文字	老夫…竟然会…败在尔等…手下…真是惭愧…惭愧…不过…尔等也…不必猖狂…待老夫…还魂后…再来…索取…尔等性命…
12842	冒泡文字	天水凝冰，寒锋夺命！降！
12843	冒泡文字	尔等蟊贼不知深浅，竟敢在龙大爷的地盘上撒野？！出洞蛟、翻江蜃，去把他们给我砍了，一个也不留！
12844	冒泡文字	烧吧，烧吧，烧光这些鼠辈！哈哈哈哈…
12845	冒泡文字	风助火势，火烧连营！
12846	冒泡文字	今天…这…这梁子…算是结下…了…他日…相见…定叫尔等…生…不…如…死…
12847	冒泡文字	蛟龙吐焰！
12848	冒泡文字	大哥稍安勿躁，待小弟把他们都打发了，再回来陪大哥喝酒！
12849	冒泡文字	玄雷追命，无所遁形！
12850	冒泡文字	大…大哥…小弟顶…顶不住了…快…快撤…
12851	冒泡文字	大哥放心，此等蟊贼小弟一人便可收拾干净！
12852	冒泡文字	毒雾腐骨，片甲不留！
12853	冒泡文字	大…大哥…小弟顶…顶不住了…快…快撤…
12854	系统提示	镜湖为#G允许宣战#l、#G主动攻击他人不会受到惩罚#l的场景，在此场景中可能会发生玩家之间的#G对战#l行为，请注意安全！
12855	活动公告	"曾夜入大内盗取国宝的“妙手空空”白冥启于#G镜湖(77,117)#l残害一方！请各位侠士速去剿灭！"
12856	活动公告	"臭名昭著的“苍山狂徒”玄击金刚于#G镜湖(166,27)#l招引玄雷危害一方！请各位侠士速去剿灭！"
12857	活动公告	"隐匿已久的莽牯毒蛤王正于#G镜湖(50,146)#l肆虐一方！请各位侠士速去剿灭！"
12858	活动公告	"有“终极爆破”之称的千年冰魄已获邪法重生，在#G镜湖(94,84)#l为祸一方！请各位侠士速去剿灭！"
12859	活动公告	"于浔阳江畔危害一时的混江龙已于#G镜湖(94,84)#l现身，请各位侠士速去剿灭！"
12860	功能按钮	挑战水匪(组队)
12861	活动公告	"“妙手空空”白冥启将于#G10#l分钟后刷新于#G镜湖(77,117)#l，请各位侠士提前做好准备！"
12862	活动公告	"“苍山狂徒”玄击金刚将于#G10#l分钟后刷新于#G镜湖(166,27)#l，请各位侠士提前做好准备！"
12863	活动公告	"莽牯毒蛤王将于#G10#l分钟后刷新于#G镜湖(50,146)#l，请各位侠士提前做好准备！"
12864	活动公告	"有“终极爆破”之称的千年冰魄将于#G10#l分钟后刷新于#G镜湖(133,44)#l，请各位侠士提前做好准备！"
12865	活动公告	"混江龙将于#G5#l分钟后刷新于#G镜湖(94,84)#l，请各位侠士提前做好准备！"
12866	活动公告	"镜湖密探回报：曾夜入大内盗取国宝的“妙手空空”于#G镜湖(77,117)#l显露行踪！"
12867	活动公告	"镜湖密探回报：臭名昭著的“苍山狂徒”玄击金刚于#G镜湖(166,27)#l显露行踪！"
12868	活动公告	"镜湖密探回报：隐匿已久的莽牯毒蛤王于#G镜湖(50,146)#l显露行踪！"
12869	活动公告	"镜湖密探回报：有“终极爆破”之称的千年冰魄于#G镜湖(133,44)#l获邪法重生！"
12870	活动公告	"镜湖密探回报：于浔阳江畔危害一时的混江龙在#G镜湖(94,84)#l现身了！"
12871	醒目提示	队伍人员不在附近，无法挑战水匪。
#12901-13900老三环副本		
12901	创建三环	您离钱宏宇太远了
12902	创建三环	您的等级太低了
12903	创建三环	您的副本次数不足
12904	创建三环	您已死亡，无法进入副本
12905	创建三环	队伍人数不足
12906	创建三环	您不是队长
12907	创建三环	您离钱宏宇太远了
12908	创建三环	{0}离钱宏宇太远了
12909	创建三环	您等级不足，请升级后再试
12910	创建三环	{0}等级不足
12911	创建三环	您的老三环副本次数不足
12912	创建三环	{0}的老三环副本次数不足
12913	创建三环	{0}已死亡，创建副本失败
12914	创建三环	战斗即将开始…
12915	创建三环	副本上限，请稍后尝试
12916	副本目标	击败#Y{0}#l  {1}/{2}
12917	副本事件	#G逃跑的伪宋兵#l已出现，不要让他们逃跑，以免走漏风声，引来援兵！
12918	副本事件	#G小熊#l已出现，大大鼓舞了熊王士气，请速度击败它！
12919	副本事件	#G小熊#l已出现，大大鼓舞了熊王士气，请速度击败它！
12920	副本事件	#G鼓手#l已出现，阻止他引来援兵！
12921	副本事件	#G余毒#l已现身！
12922	副本事件	#G红熊王#l变为战斗状态，准备迎战！
12923	副本目标	#c00ff00{0}#l已完成
12924	副本事件	#G伪宋兵精锐#l已出现，请少侠多加小心！
12925	副本事件	#G治疗鼓手#l已出现，不要让他接近战鼓，以免鼓舞敌军士气！
#12926杀星		
12926	枯荣对话	江湖传闻，煞星惊现帮会城市，横行无忌。煞星们武艺高强，老衲迅速赶来此地，奈何寡不敌众。还望少侠能出手相助！
12927	副本选项	挑战帮会杀星
12928	副本选项	快捷组队
12929	激活	{0}{1}秒后登场，请大家做好准备！
12930	激活	{0}已激活，请注意应战！
12931	枯荣喊话	吴永善于用伏兵。大家只要注意破其伏兵，必能迅速将其击败！！
12932	枯荣喊话	公孙胜善用分身。如果不能将他的分身和本体一同消灭，要消灭他难于登天！
12933	枯荣喊话	李魁的杀气瘟疫会让你伤害到自己的队友，大家要保持好距离！
12934	枯荣喊话	卢君逸有邪气护体，能够反伤，只有在他进入天人五衰时，才能将它击败！
12935	枯荣喊话	花容善用阵法，只要大家躲开陷阱，必定能将其击败！
12936	枯荣喊话	关胜的灭世刀阵，天下无双。据说他在释放刀阵之前，身前会有一生门，大家注意进入生门躲避刀阵！
12937	枯荣喊话	鲁志生的神功能将伤害转换为治疗量！我会使用技法破他的神功，请大家抓好进攻时机！
12938	枯荣喊话	秦冥乃用毒好手，大家请注意他的毒攻！
12939	枯荣喊话	林充冰攻极高，只要大家能顶住他的冰攻，胜他易如反掌！
12940	枯荣喊话	武颂的火攻独步天下，只要大家能顶住他的火攻，胜他易如反掌！
12941	枯荣喊话	呼延啄玄功已练至化境，只要大家能顶住他的玄攻，胜他易如反掌！！
12942	枯荣喊话	宋姜的绝技是妖星聚义，范围极大，大家要注意躲开！
12943	吴永喊话	伏兵听我号令。红装素裹！！
12944	吴永喊话	伏兵听我号令。黄粱美梦！！
12945	吴永喊话	伏兵听我号令。紫气东来！！
12946	吴永喊话	你们竟然破了我的伏兵，羞煞我也！
12947	吴永喊话	你们中计了，伤我不着。哈哈！
12948	公孙圣	道生一，一生二，二生万物，分身符！
12949	公孙圣	我是不死不灭的！只要还有一个在，你们就无法击败我！复活吧！！！
12950	李魁	你已中杀气瘟疫，请远离你的队友！
12951	李魁	{0}，接受我的杀气瘟疫，去伤害你的朋友吧！哈哈！！
12952	卢君逸	天罡霸气附体！敢打我，你们这是自寻死路！
12953	卢君逸	卢君逸在天罡霸气状态，停止攻击！
12954	卢君逸	啊！老天要亡我吗，我又受到了天人五衰的影响！
12955	花容	呃！我只记得地煞阵的咒语了……不过，足够了！你们都得死！
12956	关胜	灭世之阵，九死一生。你们受死吧！
12957	关胜	灭世刀阵即将开始，快去黄色光柱躲避伤害！
12958	鲁志生	哈哈哈哈！我果然最帅！任何伤害都会治疗我！
12959	鲁志生	停止攻击！任何对鲁志生的伤害都会治疗他！
12960	鲁志生	枯荣！又是你在锁我。待我将这些杂鱼料理了，定将你碎尸万段！
12961	秦冥	想抵挡我的毒攻，没那么容易，去死吧！！ 
12962	林充	冻结吧！！寒冰真气！
12963	武颂	让你们见识下什么叫火攻！
12964	武颂	嗷呜！
12965	武颂	吊睛白额大虎！助我杀敌！
12966	呼延啄	雷霆怒，万物灭！
12967	宋姜	你们激怒了我，受死吧！妖星聚义！！
12968	宋姜	妖星聚义，远离宋姜！
12969	公告	在#c00FFFC#aB[{0}]#aE#l的带领下，惩恶扬善，在苏州连败#Y{1}#l等十二煞星中六人，一时间人人称赞，闻名天下。
12970		帮会杀星之{0}副本已解锁，枯荣大师正与之交战，在苦苦支撑，请各位大侠速去相助！
12971		帮会杀星副本已重置，枯荣大师正在广邀帮会侠士前往帮会城市，除恶扬善！
12972		请先加入到帮会，再来挑战帮会杀星！
12973		领取帮会宝箱
12974		等级达到40后，才可挑战帮会杀星
12975		只有帮主才可领取帮会宝箱！
12976		您的帮会已将天道副本通关，请下周重置后再挑战并领取宝箱！
12977		通关{0}后，再来领取帮会宝箱！
12978		领取宝箱成功！
12979		背包剩余空间不足！
12980		{0}副本帮会通关奖励
12981		六道轮回，煞星陨灭。大敌当前，本帮帮众团结一心，奋勇向前，将{0}之{1}打的节节败退。而{2}则丢下一个宝箱后仓皇而逃。帮主可前往枯荣大师处领取奖励，犒劳帮众。
12982		帮会杀星已刷新，请重新打开。
12983		该副本还未解锁，不能进行挑战
12984		您不与队长在同一帮会，只有本帮成员一起组队才能发起副本挑战
12985		队伍中所有队员不是同一帮会，只有同一帮会成员才能一起组队发起副本挑战
12986		队长准备前往帮会杀星之{0}副本，本周您已通关，再次挑战将不会获得任何奖励，您是否同意前往？
12987		队长准备前往帮会杀星之{0}副本，您是否同意前往？
12988		同意
12989		拒绝{0}
12990		{0}已拒绝前往{1}副本！
13000	多人副本UI	队员信息
13001	多人副本UI	距离
13002	多人副本UI	等级
13003	多人副本UI	次数
13004	多人副本UI	未死亡
13005	多人副本UI	队伍状态
13006	多人副本UI	您要离开副本吗？离开后无法再次进入
13007	多人副本UI	没有找到目标
13008	多人副本UI	一键添加好友
13009	多人副本UI	有队友不是好友，与好友一起副本会有好友度、好友积分奖励
13010	地图UI	当前在副本中，无法跨场景寻路
13011	多人副本UI	满足
13012	多人副本UI	不符
13013	多人副本UI	未知
13014	伪宋兵	兄弟们，一起上啊！
13015	逃跑的伪宋兵	你们等着，你们等着，我有的是人。
13016	精英怪	欺负我的兄弟，看本大爷怎么收拾你们。
13017	余毒开场	嘿！此树是我栽，此路是我开，你们懂我要干嘛了吧！
13018	余毒放技能	有两下啊，看招！
13019	余毒快死了	咱们友谊小船要翻了吗？别下手这么重啊！
13020	红熊王第一次受击	哎哟！身手不错嘛！
13021	过几秒喊话	快跑！老子兄弟就在前方，到那老子就安全了！
