INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
2216	印记空三	1	60	77	0	-1	3	-1	8	20	1	0.1	1	0	3534	2719	3534	2719	20125	3000	0	0	5383	769	171	171	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	128	1	1	-1	100	0	11219	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10258	0	0	0	0	0	0
2217	眉儿	1	50	55	0	-1	3	-1	8	20	1	0.1	1	0	2276	1751	2276	1751	13615	1540	0	0	2394	342	146	146	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10076	1	1	-1	100	50	11156	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10206	0	0	0	0	0	0
2218	新哥	1	50	55	0	-1	3	-1	8	20	1	0.1	1	0	2276	1751	2276	1751	13615	1540	0	0	2394	342	146	146	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10142	1	1	-1	100	50	11518	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10178	0	0	0	0	0	0
2219	马嫂	1	50	55	0	-1	3	-1	8	20	1	0.1	1	0	2276	1751	2276	1751	13615	1540	0	0	2394	342	146	146	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10552	1	1	-1	100	50	11133	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10204	0	0	0	0	0	0
#第一期任务谁是英雄副本2221-2225																																																																															
2221	石生	1	60	77	0	-1	3	-1	9	20	1	0.1	1	0	3534	2719	3534	2719	20125	3000	0	0	5383	769	171	171	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10117	1	1	-1	100	50	11101	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10115	0	0	0	0	0	0
2222	陆行儿	1	60	77	0	-1	3	-1	9	20	1	0.1	1	1	3534	2719	3534	2719	20125	3000	0	0	5383	769	171	171	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60075	1	1	-1	100	50	11230	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	0	10264	0	0	0	0	0	0
2223	方腊	1	60	77	0	-1	3	-1	9	20	1	0.1	1	0	3534	2719	3534	2719	20125	3000	0	0	5383	769	171	171	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60074	1	1	-1	100	50	11229	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	1	0	2	1	0	0	0	4000	-1	0	10263	0	0	0	0	0	0
#第一期任务出尔反尔副本2225-2235																																																																															
2225	方腊	1	60	77	0	-1	3	-1	8	20	1	0.1	1	1	3534	2719	3534	2719	20125	3000	0	0	5383	769	171	171	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60074	1	1	-1	100	50	11229	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	0	10263	0	0	0	0	0	0
2226	冯旭	1	50	220	0	-1	3	-1	8	20	1	0.1	1	0	4552	2451	4552	2451	68075000	1540	0	0	8618	820	175	175	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10081	1	1	-1	100	50	11006	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	4	0	0	0	4000	-1	1	10015	0	0	0	0	0	0
2227	蒋忻	1	60	77	0	-1	3	-1	8	20	1	0.1	1	0	3534	2719	3534	2719	20125	3000	0	0	5383	769	171	171	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10141	1	1	-1	100	50	11011	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10148	0	0	0	0	0	0
2228	朝廷使臣	1	60	77	0	-1	3	-1	8	20	1	0.1	1	0	3534	2719	3534	2719	20125	3000	0	0	5383	769	171	171	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10133	1	1	-1	100	50	11500	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	0	10146	0	0	0	0	0	0
2229	朝廷军	1	30	30	0	-1	3	-1	9	20	1	0.1	1	0	835	696	835	696	3009	400	0	0	770	110	96	96	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	50004	1	1	-1	100	50	11734	1200	2400	-1	511	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	10001	0	0	0	0	0	0
2230	朝廷将领	1	60	77	0	-1	3	-1	9	20	1	0.1	1	0	3534	2719	3534	2719	20125	3000	0	0	5383	769	171	171	3500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10132	1	1	-1	100	50	11145	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	1	0	2	1	0	0	0	4000	-1	0	10013	0	0	0	0	0	0
#第一期副本怪物																																																																															
2242	方腊	1	30	74	0	-1	0	-1	9	20	1	0.1	1	1	1419	904	1419	904	15045	400	0	0	847	133	158	126	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60074	1	1	-1	100	50	11229	1200	2400	39	97	2833	1674	2833	1674	33645	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10020	0	0	0	0	0	0
2243	方腊	1	40	100	0	-1	0	-1	9	20	1	0.1	1	1	3010	1771	3010	1771	36010	850	0	0	1778	304	239	173	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60074	1	1	-1	100	50	11229	1200	2400	49	133	3772	2219	3772	2219	64395	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10020	0	0	0	0	0	0
2244	方腊	1	50	138	0	-1	0	-1	9	20	1	0.1	1	1	3869	2276	3869	2276	68075	1540	0	0	2896	489	337	224	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60074	1	1	-1	100	50	11229	1200	2400	59	186	5763	3389	5763	3389	96795	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10020	0	0	0	0	0	0
2245	方腊	1	60	192	0	-1	0	-1	9	20	1	0.1	1	1	6007	3534	6007	3534	100625	3000	0	0	7105	1184	451	282	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60074	1	1	-1	100	50	11229	1200	2400	69	264	9865	5803	9865	5803	149475	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10020	0	0	0	0	0	0
2246	方腊	1	70	274	0	-1	0	-1	9	20	1	0.1	1	1	10380	6106	10380	6106	156265	4500	0	0	10500	1846	603	344	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60074	1	1	-1	100	50	11229	1200	2400	79	394	16629	9782	16629	9782	217375	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10020	0	0	0	0	0	0
2247	方腊	1	80	412	0	-1	0	-1	9	20	1	0.1	1	1	17498	10293	17498	10293	226430	6500	0	0	21516	3732	777	413	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60074	1	1	-1	100	50	11229	1200	2400	89	623	22117	13010	22117	13010	306560	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10020	0	0	0	0	0	0
2248	方腊	1	90	653	0	-1	0	-1	9	20	1	0.1	1	1	22802	13413	22802	13413	319915	9500	0	0	31034	5320	1053	526	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60074	1	1	-1	100	50	11229	1200	2400	99	999	29049	17087	29049	17087	394090	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10020	0	0	0	0	0	0
2252	朝廷军	1	30	22	0	-1	0	-1	9	20	1	0.1	1	0	1064	835	1064	835	9027	400	0	0	770	121	144	115	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	50004	1	1	-1	100	50	11734	1200	2400	39	29	2125	1545	2125	1545	20187	1	17	10	0	0	2	2	0	0	0	4000	-1	0	10001	0	0	0	0	0	0
2253	朝廷军	1	40	30	0	-1	0	-1	9	20	1	0.1	1	0	2258	1635	2258	1635	21606	850	0	0	1617	277	217	157	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	50004	1	1	-1	100	50	11734	1200	2400	49	40	2829	2048	2829	2048	38637	1	17	10	0	0	2	2	0	0	0	4000	-1	0	10001	0	0	0	0	0	0
2254	朝廷军	1	50	42	0	-1	0	-1	9	20	1	0.1	1	0	2901	2101	2901	2101	40845	1540	0	0	2633	444	306	204	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	50004	1	1	-1	100	50	11734	1200	2400	59	56	4322	3128	4322	3128	58077	1	17	10	0	0	2	2	0	0	0	4000	-1	0	10001	0	0	0	0	0	0
2255	朝廷军	1	60	58	0	-1	0	-1	9	20	1	0.1	1	0	4505	3262	4505	3262	60375	3000	0	0	6459	1076	410	256	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	50004	1	1	-1	100	50	11734	1200	2400	69	80	7398	5356	7398	5356	89685	1	17	10	0	0	2	2	0	0	0	4000	-1	0	10001	0	0	0	0	0	0
2256	朝廷军	1	70	83	0	-1	0	-1	9	20	1	0.1	1	0	7785	5636	7785	5636	93759	4500	0	0	9545	1678	548	313	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	50004	1	1	-1	100	50	11734	1200	2400	79	118	12472	9030	12472	9030	130425	1	17	10	0	0	2	2	0	0	0	4000	-1	0	10001	0	0	0	0	0	0
2257	朝廷军	1	80	124	0	-1	0	-1	9	20	1	0.1	1	0	13123	9501	13123	9501	135858	6500	0	0	19560	3393	707	375	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	50004	1	1	-1	100	50	11734	1200	2400	89	187	16587	12009	16587	12009	183936	1	17	10	0	0	2	2	0	0	0	4000	-1	0	10001	0	0	0	0	0	0
2258	朝廷军	1	90	196	0	-1	0	-1	9	20	1	0.1	1	0	17101	12381	17101	12381	191949	9500	0	0	28213	4836	957	478	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	50004	1	1	-1	100	50	11734	1200	2400	99	300	21787	15772	21787	15772	236454	1	17	10	0	0	2	2	0	0	0	4000	-1	0	10001	0	0	0	0	0	0
2262	朝廷将领	1	30	74	0	-1	0	-1	9	20	1	0.1	1	1	1419	904	1419	904	15045	400	0	0	847	133	158	126	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10132	1	1	-1	100	50	11145	1200	2400	39	97	2833	1674	2833	1674	33645	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10013	0	0	0	0	0	0
2263	朝廷将领	1	40	100	0	-1	0	-1	9	20	1	0.1	1	1	3010	1771	3010	1771	36010	850	0	0	1778	304	239	173	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10132	1	1	-1	100	50	11145	1200	2400	49	133	3772	2219	3772	2219	64395	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10013	0	0	0	0	0	0
2264	朝廷将领	1	50	138	0	-1	0	-1	9	20	1	0.1	1	1	3869	2276	3869	2276	71478	1540	0	0	2896	489	337	224	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10132	1	1	-1	100	50	11145	1200	2400	59	186	5763	3389	5763	3389	101634	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10013	0	0	0	0	0	0
2265	朝廷将领	1	60	192	0	-1	0	-1	9	20	1	0.1	1	1	6007	3534	6007	3534	105656	3000	0	0	7105	1184	451	282	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10132	1	1	-1	100	50	11145	1200	2400	69	264	9865	5803	9865	5803	156948	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10013	0	0	0	0	0	0
2266	朝廷将领	1	70	274	0	-1	0	-1	9	20	1	0.1	1	1	10380	6106	10380	6106	171891	4500	0	0	10500	1846	603	344	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10132	1	1	-1	100	50	11145	1200	2400	79	394	16629	9782	16629	9782	239112	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10013	0	0	0	0	0	0
2267	朝廷将领	1	80	412	0	-1	0	-1	9	20	1	0.1	1	1	17498	10293	17498	10293	249073	6500	0	0	21516	3732	777	413	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10132	1	1	-1	100	50	11145	1200	2400	89	623	22117	13010	22117	13010	337216	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10013	0	0	0	0	0	0
2268	朝廷将领	1	90	653	0	-1	0	-1	9	20	1	0.1	1	1	22802	13413	22802	13413	367902	9500	0	0	31034	5320	1053	526	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10132	1	1	-1	100	50	11145	1200	2400	99	999	29049	17087	29049	17087	453203	1	17	10	0	0	2	3	0	0	0	4000	-1	0	10013	0	0	0	0	0	0
#明教预热第二期																																																																															
2270	藏匿的包裹	1	20	15	0	-1	3	-1	8	20	1	0.1	1	0	367	334	367	334	1214	281	0	0	434	62	71	71	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10145	1	1	-1	100	0	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	0	10231	0	0	0	0	0	0
2271	藏匿的包裹	1	20	15	0	-1	3	-1	8	20	1	0.1	1	0	367	334	367	334	1214	281	0	0	434	62	71	71	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10145	1	1	-1	100	0	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	0	10231	0	0	0	0	0	0
#明教预热第三期任务NPC																																																																															
2275	林世长	1	70	110	0	-1	3	-1	8	20	1	0.1	1	0	6106	4697	6106	4697	31253	4500	0	0	7343	1049	196	196	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10031	1	1	-1	100	50	11026	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10017	0	0	0	0	0	0
2276	送信的教众	1	50	55	0	-1	3	-1	9	20	1	0.1	1	0	2276	1751	2276	1751	13615	1540	0	0	2394	342	146	146	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60006	1	1	-1	100	50	11101	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10115	0	0	0	0	0	0
#明教预热第三期怪物																																																																															
2280	程君	1	30	44	0	-1	0	-1	9	20	1	0.1	1	0	1252	835	1252	835	27081	400	0	0	770	121	144	115	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10419	1	1	-1	100	50	11098	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11747	0	0	0	1	0	0
2281	陈昌卫	1	30	44	0	-1	0	-1	9	20	1	0.1	1	0	1252	835	1252	835	27081	400	0	0	770	121	144	115	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10172	1	1	-1	100	50	11748	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11748	0	0	0	1	0	0
2282	甘兵	1	30	44	0	-1	0	-1	9	20	1	0.1	1	0	1252	835	1252	835	27081	400	0	0	770	121	144	115	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10412	1	1	-1	100	50	11752	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11752	0	0	0	1	0	0
2283	杨啸宇	1	40	60	0	-1	0	-1	9	20	1	0.1	1	0	2656	1635	2656	1635	64818	850	0	0	1617	277	217	157	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10413	1	1	-1	100	50	11750	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11750	0	0	0	1	0	0
2284	李景天	1	40	60	0	-1	0	-1	9	20	1	0.1	1	0	2656	1635	2656	1635	64818	850	0	0	1617	277	217	157	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10418	1	1	-1	100	50	11524	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11524	0	0	0	1	0	0
2285	马栋信	1	40	60	0	-1	0	-1	9	20	1	0.1	1	0	2656	1635	2656	1635	64818	850	0	0	1617	277	217	157	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10410	1	1	-1	100	50	11746	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11746	0	0	0	1	0	0
2286	程君	1	50	83	0	-1	0	-1	9	20	1	0.1	1	0	3414	2101	3414	2101	122535	1540	0	0	2633	444	306	204	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10419	1	1	-1	100	50	11098	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11747	0	0	0	1	0	0
2287	陈昌卫	1	50	83	0	-1	0	-1	9	20	1	0.1	1	0	3414	2101	3414	2101	122535	1540	0	0	2633	444	306	204	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10172	1	1	-1	100	50	11748	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11748	0	0	0	1	0	0
2288	甘兵	1	50	83	0	-1	0	-1	9	20	1	0.1	1	0	3414	2101	3414	2101	122535	1540	0	0	2633	444	306	204	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10412	1	1	-1	100	50	11752	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11752	0	0	0	1	0	0
2289	杨啸宇	1	60	115	0	-1	0	-1	9	20	1	0.1	1	0	5301	3262	5301	3262	181125	3000	0	0	6459	1076	410	256	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10413	1	1	-1	100	50	11750	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11750	0	0	0	1	0	0
2290	李景天	1	60	115	0	-1	0	-1	9	20	1	0.1	1	0	5301	3262	5301	3262	181125	3000	0	0	6459	1076	410	256	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10418	1	1	-1	100	50	11524	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11524	0	0	0	1	0	0
2291	马栋信	1	60	115	0	-1	0	-1	9	20	1	0.1	1	0	5301	3262	5301	3262	181125	3000	0	0	6459	1076	410	256	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10410	1	1	-1	100	50	11746	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11746	0	0	0	1	0	0
2292	程君	1	70	165	0	-1	0	-1	9	20	1	0.1	1	0	9159	5636	9159	5636	281277	4500	0	0	9545	1678	548	313	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10419	1	1	-1	100	50	11098	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11747	0	0	0	1	0	0
2293	陈昌卫	1	70	165	0	-1	0	-1	9	20	1	0.1	1	0	9159	5636	9159	5636	281277	4500	0	0	9545	1678	548	313	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10172	1	1	-1	100	50	11748	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11748	0	0	0	1	0	0
2294	甘兵	1	70	165	0	-1	0	-1	9	20	1	0.1	1	0	9159	5636	9159	5636	281277	4500	0	0	9545	1678	548	313	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10412	1	1	-1	100	50	11752	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11752	0	0	0	1	0	0
2295	杨啸宇	1	80	247	0	-1	0	-1	9	20	1	0.1	1	0	15439	9501	15439	9501	407574	6500	0	0	19560	3393	707	375	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10413	1	1	-1	100	50	11750	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11750	0	0	0	1	0	0
2296	李景天	1	80	247	0	-1	0	-1	9	20	1	0.1	1	0	15439	9501	15439	9501	407574	6500	0	0	19560	3393	707	375	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10418	1	1	-1	100	50	11524	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11524	0	0	0	1	0	0
2297	马栋信	1	80	247	0	-1	0	-1	9	20	1	0.1	1	0	15439	9501	15439	9501	407574	6500	0	0	19560	3393	707	375	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10410	1	1	-1	100	50	11746	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11746	0	0	0	1	0	0
2298	程君	1	90	392	0	-1	0	-1	9	20	1	0.1	1	0	20119	12381	20119	12381	575847	9500	0	0	28213	4836	957	478	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10419	1	1	-1	100	50	11098	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11747	0	0	0	1	0	0
2299	陈昌卫	1	90	392	0	-1	0	-1	9	20	1	0.1	1	0	20119	12381	20119	12381	575847	9500	0	0	28213	4836	957	478	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10172	1	1	-1	100	50	11748	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11748	0	0	0	1	0	0
2300	甘兵	1	90	392	0	-1	0	-1	9	20	1	0.1	1	0	20119	12381	20119	12381	575847	9500	0	0	28213	4836	957	478	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10412	1	1	-1	100	50	11752	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	2	0	0	0	4000	-1	0	11752	0	0	0	1	0	0
#明教预热第四期副本NPC																																																																															
2310	崔绿华	1	80	165	0	-1	3	-1	8	20	1	0.1	1	0	10293	7918	10293	7918	45286	6500	0	0	19560	3393	707	375	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	117	1	1	-1	100	50	11056	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10119	0	0	0	0	0	0
2311	竹剑	1	80	165	0	-1	3	-1	8	20	1	0.1	1	0	10293	7918	10293	7918	45286	6500	0	0	19560	3393	707	375	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	120	1	1	-1	100	50	11093	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10120	0	0	0	0	0	0
2312	康广陵	1	80	165	0	-1	3	-1	8	20	1	0.1	1	0	10293	7918	10293	7918	45286	6500	0	0	19560	3393	707	375	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	123	1	1	-1	100	50	11061	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10121	0	0	0	0	0	0
2313	陈孤雁	1	80	165	0	-1	3	-1	8	20	1	0.1	1	0	10293	7918	10293	7918	45286	6500	0	0	19560	3393	707	375	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	116	1	1	-1	100	50	11081	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10122	0	0	0	0	0	0
2314	破贪	1	80	165	0	-1	3	-1	8	20	1	0.1	1	0	10293	7918	10293	7918	45286	6500	0	0	19560	3393	707	375	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60024	1	1	-1	100	50	11201	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10253	0	0	0	0	0	0
2315	吕师襄	1	80	165	0	-1	3	-1	8	20	1	0.1	1	0	10293	7918	10293	7918	45286	6500	0	0	19560	3393	707	375	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60070	1	1	-1	100	50	11228	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10262	0	0	0	0	0	0
2316	方腊	1	80	165	0	-1	3	-1	8	20	1	0.1	1	0	10293	7918	10293	7918	45286	6500	0	0	19560	3393	707	375	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60074	1	1	-1	100	50	11229	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10263	0	0	0	0	0	0
2317	林世长	1	80	165	0	-1	3	-1	8	20	1	0.1	1	0	10293	7918	10293	7918	45286	6500	0	0	19560	3393	707	375	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10031	1	1	-1	100	50	11026	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10017	0	0	0	0	0	0
#明教预热第四期副本怪物																																																																															
2320	丐帮弟子	1	30	8	0	-1	0	-1	9	20	1	0.1	1	0	1252	835	1252	835	12637	400	0	0	770	121	144	115	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60000	1	1	-1	100	50	11005	1200	2400	39	10	2500	1545	2500	1545	28261	1	17	10	0	0	2	5	0	0	0	4000	-1	0	10002	0	0	0	0	0	0
2321	逍遥弟子	1	30	8	0	-1	0	-1	9	20	1	0.1	1	0	1252	835	1252	835	12637	400	0	0	770	121	144	115	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60001	1	1	-1	100	50	11022	1200	2400	39	10	2500	1545	2500	1545	28261	1	17	10	0	0	2	5	0	0	0	4000	-1	0	10004	0	0	0	0	0	0
2322	峨嵋弟子	1	30	8	0	-1	0	-1	9	20	1	0.1	1	0	1252	835	1252	835	12637	400	0	0	770	121	144	115	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	60002	1	1	-1	100	50	11004	1200	2400	39	10	2500	1545	2500	1545	28261	1	17	10	0	0	2	5	0	0	0	4000	-1	0	10001	0	0	0	0	0	0
